date,nav
2023-12-27,96848.1382
2023-12-28,96848.1382
2023-12-29,96848.1382
2024-01-02,96848.1382
2024-01-03,96848.1382
2024-01-04,96848.1382
2024-01-05,96848.1382
2024-01-08,96848.1382
2024-01-09,96848.1382
2024-01-10,96848.1382
2024-01-11,96848.1382
2024-01-12,96848.1382
2024-01-15,96848.1382
2024-01-16,96848.1382
2024-01-17,96848.1382
2024-01-18,96848.1382
2024-01-19,96848.1382
2024-01-22,96848.1382
2024-01-23,96848.1382
2024-01-24,96848.1382
2024-01-25,96848.1382
2024-01-26,96848.1382
2024-01-29,96828.3089
2024-01-30,96146.1089
2024-01-31,95236.5089
2024-02-01,95145.5489
2024-02-02,94855.5875
2024-02-05,94855.5875
2024-02-06,94855.5875
2024-02-07,94855.5875
2024-02-08,94855.5875
2024-02-19,94855.5875
2024-02-20,94855.5875
2024-02-21,94855.5875
2024-02-22,94840.0877
2024-02-23,95131.8477
2024-02-26,94840.0877
2024-02-27,95168.3177
2024-02-28,94730.6777
2024-02-29,94985.9677
2024-03-01,94840.0877
2024-03-04,94147.1577
2024-03-05,93964.8077
2024-03-06,93782.4577
2024-03-07,93535.1911
2024-03-08,93535.1911
2024-03-11,93535.1911
2024-03-12,93535.1911
2024-03-13,93535.1911
2024-03-14,93535.1911
2024-03-15,93535.1911
2024-03-18,93535.1911
2024-03-19,93535.1911
2024-03-20,93535.1911
2024-03-21,93535.1911
2024-03-22,93535.1911
2024-03-25,93535.1911
2024-03-26,93535.1911
2024-03-27,93535.1911
2024-03-28,93535.1911
2024-03-29,93535.1911
2024-04-01,93535.1911
2024-04-02,93535.1911
2024-04-03,93535.1911
2024-04-08,93535.1911
2024-04-09,93535.1911
2024-04-10,93535.1911
2024-04-11,93535.1911
2024-04-12,93535.1911
2024-04-15,93535.1911
2024-04-16,93535.1911
2024-04-17,93535.1911
2024-04-18,93535.1911
2024-04-19,93535.1911
2024-04-22,93535.1911
2024-04-23,93535.1911
2024-04-24,93535.1911
2024-04-25,93535.1911
2024-04-26,93535.1911
2024-04-29,93535.1911
2024-04-30,93516.2821
2024-05-06,93277.5321
2024-05-07,93182.0321
2024-05-08,92131.5321
2024-05-09,92561.2821
2024-05-10,93468.5321
2024-05-13,92991.0321
2024-05-14,93277.5321
2024-05-15,93564.0321
2024-05-16,94328.0321
2024-05-17,96333.5321
2024-05-20,97479.5321
2024-05-21,98625.5321
2024-05-22,100153.5321
2024-05-23,99914.7821
2024-05-24,98004.7821
2024-05-27,98100.2821
2024-05-28,96381.2821
2024-05-29,96285.7821
2024-05-30,95283.0321
2024-05-31,94710.0321
2024-06-03,94002.6636
2024-06-04,94002.6636
2024-06-05,94002.6636
2024-06-06,94002.6636
2024-06-07,94002.6636
2024-06-11,94002.6636
2024-06-12,94002.6636
2024-06-13,94002.6636
2024-06-14,94002.6636
2024-06-17,94002.6636
2024-06-18,94002.6636
2024-06-19,94002.6636
2024-06-20,94002.6636
2024-06-21,94002.6636
2024-06-24,94002.6636
