date,rolling_sharpe_60d
2025-08-27,2.1570
2025-08-28,2.6194
2025-08-29,2.5459
2025-09-01,2.5210
2025-09-02,2.2886
2025-09-03,2.1919
2025-09-04,1.7668
2025-09-05,2.0303
2025-09-08,1.5540
2025-09-09,1.6318
2025-09-10,1.6063
2025-09-11,1.7927
2025-09-12,1.4538
2025-09-15,1.2290
2025-09-16,1.2290
2025-09-17,0.9064
2025-09-18,0.0064
2025-09-19,0.6223
2025-09-22,1.0289
2025-09-23,0.3469
2025-09-24,0.2830
2025-09-25,0.1873
2025-09-26,-0.6638
2025-09-29,-1.3441
2025-09-30,-1.0361
2025-10-09,-1.6411
2025-10-10,-3.7769
2025-10-13,-3.1473
2025-10-14,-3.6711
2025-10-15,-3.1867
2025-10-16,-2.6513
2025-10-17,-2.9531
2025-10-20,-4.4433
2025-10-21,-3.7919
2025-10-22,-1.7091
2025-10-23,-0.6891
2025-10-24,-1.3150
2025-10-27,-1.6673
2025-10-28,-2.0837
2025-10-29,-2.6578
2025-10-30,-2.7436
2025-10-31,-3.1734
2025-11-03,-2.0285
2025-11-04,-0.6927
2025-11-05,-1.1187
2025-11-06,-1.1816
2025-11-07,-0.9205
2025-11-10,-0.4059
2025-11-11,-0.1617
2025-11-12,-0.1014
2025-11-13,0.0190
2025-11-14,0.3164
2025-11-17,-0.1541
2025-11-18,-0.6017
2025-11-19,0.5091
2025-11-20,0.7475
2025-11-21,-0.0214
2025-11-24,-0.4199
2025-11-25,0.4318
2025-11-26,-0.0130
2025-11-27,0.0663
2025-11-28,-0.3236
2025-12-01,-0.0111
2025-12-02,-0.2025
2025-12-03,-0.5815
2025-12-04,-0.5815
2025-12-05,-0.5815
2025-12-08,-0.5815
2025-12-09,-0.5815
2025-12-10,-0.5815
